origem,destino,tempo_min,passageiros
9,32,5.62,3
10,1,1.5,23
10,2,1.64,31
10,3,2.42,4
10,4,4.87,4
10,5,3.24,5
10,6,4.02,11
10,7,4.7,9
10,8,6.43,9
10,9,0.68,2
10,11,0.9,5
10,12,1.05,2
10,13,1.68,1
10,14,2.14,1
10,15,3.94,5
10,16,2.72,6
10,17,3.3,6
10,18,3.67,13
10,19,4.92,14
10,20,5.75,14
10,21,7.81,7
10,22,7.62,1
10,23,9.37,6
10,24,1.7,25
10,25,2.05,6
10,26,2.31,6
10,27,5.38,6
10,28,3.39,5
10,29,3.83,6
10,30,3.72,4
10,31,4.35,11
10,32,5.39,3
11,1,1.7,23
11,2,1.81,31
11,3,2.59,4
11,4,5.05,4
11,5,3.42,5
11,6,4.2,11
11,7,4.87,9
11,8,6.61,9
11,9,0.89,2
11,10,0.74,4
11,12,0.75,2
11,13,1.38,1
11,14,2.34,1
11,15,4.12,5
11,16,2.72,6
11,17,3.31,6
11,18,3.84,13
11,19,5.1,14
11,20,5.93,14
11,21,7.99,7
11,22,7.79,1
11,23,9.55,6
11,24,1.87,25
11,25,2.23,6
11,26,2.49,6
11,27,5.56,6
11,28,3.56,5
11,29,4.01,6
11,30,3.89,4
11,31,4.52,11
11,32,5.56,3
12,1,2.81,23
12,2,1.63,31
12,3,2.05,4
12,4,4.51,4
12,5,2.88,5
12,6,3.66,11
12,7,4.33,9
12,8,6.05,9
12,9,1.99,2
12,10,1.84,4
12,11,1.8,5
12,13,0.62,1
12,14,2.41,1
12,15,3.93,5
12,16,1.97,6
12,17,2.55,6
12,18,3.3,13
12,19,4.91,14
12,20,5.74,14
12,21,7.8,7
12,22,7.61,1
12,23,9.36,6
12,24,1.68,25
12,25,2.04,6
12,26,2.3,6
12,27,4.91,6
12,28,3.38,5
12,29,3.82,6
12,30,3.71,4
12,31,4.34,11
12,32,5.37,3
13,1,3.35,23
13,2,1.7,31
13,3,1.43,4
13,4,3.88,4
13,5,2.26,5
13,6,3.03,11
13,7,3.71,9
13,8,5.43,9
13,9,2.46,2
13,10,2.39,4
13,11,2.48,5
13,12,1.96,2
13,14,2.47,1
13,15,3.45,5
13,16,1.35,6
13,17,1.93,6
13,18,2.68,13
13,19,4.45,14
13,20,5.29,14
13,21,7.34,7
13,22,7.15,1
13,23,8.9,6
13,24,1.75,25
13,25,2.11,6
13,26,2.37,6
13,27,4.29,6
13,28,2.92,5
13,29,3.36,6
13,30,3.25,4
13,31,3.88,11
13,32,4.92,3
14,1,1.6,23
14,2,2.17,31
14,3,2.12,4
14,4,4.58,4
14,5,2.95,5
